date,date,ML,Low_75,High_75,cases,smoothed,fcst,prd_ets,s,i,r
2020-03-19,2020-03-19,1.95,1.54,2.32,202.0,169.0,0.0,1.890103631895303,19687.89236431793,181.12211036621403,113.98552531585926
2020-03-20,2020-03-20,1.9100000000000001,1.49,2.24,176.0,191.0,0.0,1.9017783453002324,19662.822040149927,193.25514093662952,126.92281891344598
2020-03-21,2020-03-21,1.85,1.45,2.17,251.0,213.0,0.0,1.8632372080495887,19635.93863645398,206.33460599424825,140.72675755177667
2020-03-22,2020-03-22,1.68,1.28,1.98,189.0,227.0,0.0,1.8045910205733664,19607.827188076975,219.7078682288069,155.46494369422297
2020-03-23,2020-03-23,1.76,1.37,2.05,257.0,257.0,0.0,1.636091504813809,19578.835926969605,233.00571017697834,171.15836285342345
2020-03-24,2020-03-24,1.97,1.6,2.25,291.0,305.0,0.0,1.7168038630041007,19550.91658317382,244.2817889601215,187.80162786606476
2020-03-25,2020-03-25,2.0300000000000002,1.7,2.31,193.0,357.0,0.0,1.9277512280836229,19520.250664489446,257.4990084330584,205.25032707750202
2020-03-26,2020-03-26,2.04,1.72,2.3000000000000003,558.0,415.0,0.0,1.9892546697511162,19484.073708710923,275.283177894936,223.64311339414905
2020-03-27,2020-03-27,1.74,1.42,1.98,584.0,444.0,0.0,2.0005054145638366,19444.231624505446,295.46217796506016,243.30619752950162
2020-03-28,2020-03-28,1.23,0.9400000000000001,1.49,426.0,430.0,0.0,1.7022548500156365,19401.26660150598,317.3227596813058,264.4106388127202
2020-03-29,2020-03-29,0.96,0.66,1.22,481.0,412.0,0.0,1.193738690071865,19361.915061507403,334.00838827407546,287.07655021852776
2020-03-30,2020-03-30,0.71,0.42,0.99,302.0,381.0,0.0,0.9242447482110715,19332.629559258647,339.43614850325656,310.9342922381046
2020-03-31,2020-03-31,0.76,0.43,1.02,125.0,371.0,0.0,0.6751970324126938,19309.389142752836,338.43112583026215,335.1797314169086
2020-04-01,2020-04-01,0.9500000000000001,0.63,1.22,527.0,379.0,0.0,0.7255469278106196,19292.24648252533,331.4001342127485,359.3533832619273
2020-04-02,2020-04-02,1.18,0.88,1.46,487.0,402.0,0.0,0.9162267000039707,19274.2721611066,325.7030174734252,383.0248214199808
2020-04-03,2020-04-03,1.24,0.93,1.5,415.0,419.0,0.0,1.1470994551114926,19252.191476376767,324.519200955158,406.2893226680826
2020-04-04,2020-04-04,1.18,0.85,1.42,298.0,427.0,0.0,1.2083826409120562,19224.870478668578,328.66025573797833,429.46926559345104
2020-04-05,2020-04-05,0.93,0.6,1.17,581.0,408.0,0.0,1.1495213644032896,19195.80188049591,334.253121357932,452.94499814616375
2020-04-06,2020-04-06,0.8300000000000001,0.5,1.08,362.0,393.0,0.0,0.9007677905109757,19167.671715498294,338.5080634014106,476.82022110030175
2020-04-07,2020-04-07,0.85,0.54,1.12,350.0,386.0,0.0,0.8012714306089412,19145.218061049596,336.78257046429314,500.9993684861168
2020-04-08,2020-04-08,0.93,0.59,1.18,311.0,387.0,0.0,0.8218267668775977,19125.275055106664,332.6696785169178,525.0552663764234
2020-04-09,2020-04-09,0.86,0.52,1.11,401.0,375.0,0.0,0.902494775022362,19105.098292648036,329.08432108148185,548.817386270489
2020-04-10,2020-04-10,0.9,0.5700000000000001,1.16,467.0,372.0,0.0,0.833579520542652,19083.26075379313,327.41583700199516,572.3234092048806
2020-04-11,2020-04-11,0.79,0.44,1.04,381.0,355.0,0.0,0.8740930927618008,19063.171055897605,324.1186893973765,595.7102547050231
2020-04-12,2020-04-12,0.62,0.3,0.9,271.0,328.0,0.0,0.7651312353617566,19042.35678952375,321.7816208142739,618.8615896619785
2020-04-13,2020-04-13,0.5,0.16,0.76,297.0,300.0,0.0,0.5959502796293391,19024.218937945316,316.9350709059754,641.8459911487124
2020-04-14,2020-04-14,0.47000000000000003,0.15,0.75,265.0,278.0,0.0,0.47651687535319964,19010.196610953455,308.31917854741056,664.4842104991392
2020-04-15,2020-04-15,0.61,0.28,0.92,232.0,271.0,0.0,0.44698641443988146,18999.19332797612,297.2996630570701,686.5070089668113
2020-04-16,2020-04-16,0.78,0.42,1.08,292.0,271.0,0.0,0.58728093390369,18989.21833054084,286.03897027399097,707.7426991851735
2020-04-17,2020-04-17,0.97,0.6,1.26,273.0,279.0,0.0,0.7578617603959638,18976.761747396475,278.0641983987856,728.1740542047443
2020-04-18,2020-04-18,0.96,0.61,1.26,298.0,277.0,0.0,0.9484486274375113,18961.279761768474,273.6844555697307,748.0357826618003
2020-04-19,2020-04-19,0.92,0.58,1.23,236.0,272.0,0.0,0.9394734325181326,18942.33280906294,273.0825185917136,767.5846723453525
2020-04-20,2020-04-20,0.9,0.52,1.18,386.0,267.0,0.0,0.900112532301713,18923.62586215462,272.2835713149128,787.0905665304749
2020-04-21,2020-04-21,0.88,0.52,1.18,154.0,262.0,0.0,0.8806287021468411,18905.75061232889,270.70999461814534,806.5393930529686
2020-04-22,2020-04-22,0.92,0.58,1.24,194.0,261.0,0.0,0.861172118793265,18888.364265625052,268.7599131349733,825.875821239979
2020-04-23,2020-04-23,1.05,0.6900000000000001,1.35,367.0,269.0,0.0,0.901576637341637,18871.48632116791,266.44072093961597,845.0729578924771
2020-04-24,2020-04-24,,,,,,1.0,1.03190986908992,18853.993004867418,264.90255717299294,864.1044379595926
2020-04-25,2020-04-25,,,,,,1.0,1.0146377316038009,18834.143729849096,265.83022096467096,883.0260491862349
2020-04-26,2020-04-26,,,,,,1.0,0.9978491783861877,18821.760601951068,259.22547593665286,902.0139221122828
2020-04-27,2020-04-27,,,,,,1.0,0.9815306700737599,18809.967639424933,252.50233303874018,920.5300275363294
2020-04-28,2020-04-28,,,,,,1.0,0.9656690463774786,18798.75249964022,245.68159189211514,938.565908467668
2020-04-29,2020-04-29,,,,,,1.0,0.9502515154692873,18788.09796214455,238.7874442526338,956.1145936028191
2020-04-30,2020-04-30,,,,,,1.0,0.9352656436659633,18777.986348702423,231.84281167671728,973.1708396208644
2020-05-01,2020-05-01,,,,,,1.0,0.9206993454018009,18768.3996351445,224.86932440059115,989.7310404549156
2020-05-02,2020-05-02,,,,,,1.0,0.906540873482037,18759.319557164563,217.88730778048588,1005.7931350549578
2020-05-03,2020-05-03,,,,,,1.0,0.8927788096091629,18750.727707666894,210.91577815097642,1021.3565141821354
2020-05-04,2020-05-04,,,,,,1.0,0.8794020551744774,18742.60562588205,203.97244721074995,1036.421926907205
