date,date,ML,Low_75,High_75,cases,smoothed,fcst,prd_ets,s,i,r
2020-04-07,2020-04-07,1.12,1.01,1.18,11469.0,9352.0,0.0,0.9505677559015036,289724.89702704246,7335.061873179622,8446.041099778036
2020-04-08,2020-04-08,1.18,1.09,1.25,9320.0,9597.0,0.0,1.1250936160042375,289217.529501913,7318.4964073676565,8969.974090719437
2020-04-09,2020-04-09,1.19,1.09,1.25,10536.0,9856.0,0.0,1.1907747511789748,288633.07508399396,7380.201081903313,9492.72383410284
2020-04-10,2020-04-10,0.9400000000000001,0.84,1.0,10575.0,9742.0,0.0,1.1985299068102377,288012.2866016365,7473.832344124841,10019.881054238791
2020-04-11,2020-04-11,0.56,0.45,0.62,9946.0,9106.0,0.0,0.9153418417804917,287378.37719568575,7573.896582638115,10553.72622167628
2020-04-12,2020-04-12,0.72,0.62,0.79,8236.0,8763.0,0.0,0.49698139894879784,286870.9634107269,7540.317754551348,11094.718834721858
2020-04-13,2020-04-13,0.76,0.66,0.8300000000000001,6337.0,8468.0,0.0,0.696714015842796,286569.88324738556,7302.803792567592,11633.312960046955
2020-04-14,2020-04-14,0.91,0.8200000000000001,0.99,7177.0,8375.0,0.0,0.7490958239900848,286194.70465642615,7156.353541200766,12154.94180237321
2020-04-15,2020-04-15,0.98,0.89,1.06,11571.0,8364.0,0.0,0.9208756083894905,285806.7255027032,7033.164584837904,12666.10991245898
2020-04-16,2020-04-16,0.86,0.75,0.93,8505.0,8191.0,0.0,0.9959132945034621,285350.1895466964,6987.33164192775,13168.478811375973
2020-04-17,2020-04-17,0.61,0.5,0.68,7358.0,7715.0,0.0,0.8561848268732826,284861.85762117576,6976.5684501678215,13667.573928656528
2020-04-18,2020-04-18,0.29,0.17,0.36,7121.0,6936.0,0.0,0.5769581262327876,284434.0304018622,6906.06935161225,14165.900246525658
2020-04-19,2020-04-19,0.08,0.0,0.16,6054.0,6064.0,0.0,0.22860273249256574,284133.57501989626,6713.234065605907,14659.190914497962
2020-04-20,2020-04-20,0.38,0.25,0.46,4726.0,5582.0,0.0,0.012763095424526583,283994.6620640846,6372.630302445737,15138.707633469812
2020-04-21,2020-04-21,0.65,0.53,0.74,4177.0,5340.0,0.0,0.37091805518688653,283958.26483709976,5953.839650684455,15593.895512215937
