date,date,ML,Low_75,High_75,cases,smoothed,fcst,prd_ets,s,i,r
2020-05-21,2020-05-21,,,,,,1.0,0.7680041253901603,2252138.4233518066,42.887886684406034,600.6887615113242
2020-05-22,2020-05-22,,,,,,1.0,0.768003354066243,2252137.494481515,40.753336498327634,603.7521819887818
2020-05-23,2020-05-23,,,,,,1.0,0.7680027370071022,2252136.6360223633,38.70084304302979,606.6631345958052
2020-05-24,2020-05-24,,,,,,1.0,0.7680022433597842,2252135.843339415,36.729180060090975,609.4274805274503
2020-05-25,2020-05-25,,,,,,1.0,0.7680018484419253,2252135.112044737,34.83696187640548,612.0509933888853
2020-05-26,2020-05-26,,,,,,1.0,0.7680015325076346,2252134.4379894086,33.022662785187585,614.5393478086286
2020-05-27,2020-05-27,,,,,,1.0,0.7680012797601993,2252133.817255258,31.284635308197245,616.898109436142
2020-05-28,2020-05-28,,,,,,1.0,0.7680010775622488,2252133.2461464135,29.621127345280563,619.1327262438704
2020-05-29,2020-05-29,,,,,,1.0,0.7680009158038866,2252132.7211807244,28.03029822417122,621.2485210542476
2020-05-30,2020-05-30,,,,,,1.0,0.7680007863971954,2252132.23908112,26.51023366945275,623.250685213117
2020-05-31,2020-05-31,,,,,,1.0,0.7680006828718412,2252131.7967669554,25.058959714697732,625.1442733323636
2020-06-01,2020-06-01,,,,,,1.0,0.768000600051557,2252131.39134539,23.67445558613998,626.9341990262706
2020-06-02,2020-06-02,,,,,,1.0,0.7680005337953288,2252131.0201028446,22.354665589860204,628.6252315681377
2020-06-03,2020-06-03,,,,,,1.0,0.7680004807903458,2252130.6804965693,21.0975100374331,630.2219933959848
2020-06-04,2020-06-04,,,,,,1.0,0.7680004383863589,2252130.3701463565,19.900895247351603,631.7289583986586
2020-06-05,2020-06-05,,,,,,1.0,0.768000404463169,2252130.086826425,18.762722661366777,633.1504509163266
2020-06-06,2020-06-06,,,,,,1.0,0.7680003773246167,2252129.8284574943,17.680897116212453,634.4906453921385
2020-06-07,2020-06-07,,,,,,1.0,0.7680003556137747,2252129.593099076,16.65333431207188,635.7535666147251
2020-06-08,2020-06-08,,,,,,1.0,0.7680003382451008,2252129.378941989,15.677967519636923,636.9430904941588
2020-06-09,2020-06-09,,,,,,1.0,0.7680003243501616,2252129.184301118,14.752753567753262,638.0629453169901
2020-06-10,2020-06-10,,,,,,1.0,0.7680003132342101,2252129.00760842,13.875678153479488,639.1167134289724
2020-06-11,2020-06-11,,,,,,1.0,0.7680003043414488,2252128.8474061894,13.044760515952882,640.1078332970781
2020-06-12,2020-06-12,,,,,,1.0,0.7680002972272397,2252128.7023405824,12.258057514786492,641.0396019053604
